latitude,longitude,Client/Provider,Client Name
32.11814,34.7877,Client,C
32.0488,34.79659,Client,C
32.11216,34.8207,Client,C
32.04148,34.77963,Client,C
32.11024,34.82763,Client,C
32.12753,34.80269,Client,C
32.11948,34.82173,Client,C
32.11169,34.83127,Client,C
32.13841,34.79391,Client,C
32.11405,34.83632,Client,C
32.0379,34.74601,Client,C
32.14307,34.79727,Client,C
32.10925,34.81917,Client,C
32.088379,34.775111,Client,C
32.091512,34.783599,Client,C
32.094708,34.781973,Client,C
32.087458,34.771417,Client,C
32.080801,34.768594,Client,C
32.080018,34.76889,Client,D
32.102224,34.785543,Client,D
32.0698,34.7913,Client,D
32.06855,34.78823,Client,D
32.098032,34.798089,Client,D
32.066829,34.783039,Client,D
32.065721,34.776917,Client,D
32.067618,34.797781,Client,D
32.063111,34.769903,Client,D
32.059834,34.772457,Client,D
32.058374,34.775729,Client,D
32.1243,34.8028,Client,D
32.041052,34.769815,Client,D
32.083701,34.785538,Client,D
32.082191,34.771216,Client,D
32.073687,34.765448,Client,D
32.062146,34.790668,Client,D
32.111344,34.801714,Client,D
32.122292,34.818229,Client,D
32.068638,34.777958,Client,D
32.10379,34.809804,Client,D
32.1034,34.8059,Client,D
32.06367,34.77896,Client,D
32.10861,34.79657,Client,D
32.06146,34.80103,Client,D
32.06125,34.80263,Client,D
32.11634,34.79406,Client,D
32.10492,34.81332,Client,D
32.05337,34.80155,Client,D
32.04733,34.75608,Client,D
32.046,34.75619,Client,D
32.11709,34.82263,Client,D
32.11928,34.81903,Client,D
32.11359,34.83649,Client,D
32.11921,34.83317,Client,D
32.12635,34.83075,Client,D
32.12801,34.83045,Client,D
32.083,34.7806,Client,D
32.08437,34.774964,Client,D
32.083417,34.79182,Client,D
32.092356,34.774966,Client,D
32.083389,34.769872,Client,D
32.094177,34.775399,Client,D
32.0736,34.7843,Client,D
32.09976,34.783898,Client,D
32.066954,34.772503,Client,D
32.06879,34.796905,Client,D
32.124,34.7917,Client,D
32.047511,34.759492,Client,D
32.1097,34.8408,Client,D
32.078041,34.791354,Client,D
32.070599,34.776225,Client,D
32.081666,34.774062,Client,D
32.112999,34.79869,Client,D
32.09426,34.78176,Client,D
32.09271,34.77396,Client,D
32.10493,34.79016,Client,D
32.11639,34.79848,Client,D
32.05972,34.81057,Client,D
32.11884,34.79631,Client,D
32.04721,34.77575,Client,D
32.12273,34.80085,Client,D
32.11675,34.81529,Client,D
32.0424,34.77293,Client,D
32.04694,34.80947,Client,D
32.04241,34.7667,Client,D
32.04182,34.7576,Client,D
32.11705,34.82465,Client,D
32.11428,34.82846,Client,D
32.081844,34.777613,Client,D
32.086848,34.788229,Client,D
32.089591,34.773092,Client,D
32.086678,34.791337,Client,D
32.078478,34.773041,Client,D
32.072537,34.784071,Client,D
32.078621,34.797969,Client,D
32.073063,34.771625,Client,D
32.1021,34.7892,Client,D
32.106566,34.797869,Client,D
32.062158,34.764832,Client,D
32.0572,34.791699,Client,D
32.054935,34.760619,Client,D
32.051976,34.764434,Client,D
32.050787,34.771715,Client,D
32.050287,34.752289,Client,D
32.113723,34.82452,Client,D
32.108501,34.836171,Client,D
32.081438,34.776281,Client,D
32.074095,34.769072,Client,E
32.116362,34.807152,Client,E
32.035393,34.75873,Client,E
32.091177,34.790288,Client,E
32.125093,34.801667,Client,E
32.11713,34.78659,Client,E
32.11865,34.79151,Client,E
32.05037,34.79141,Client,E
32.10908,34.81691,Client,E
32.1262,34.79463,Client,E
32.11737,34.81675,Client,E
32.12727,34.80141,Client,E
32.12217,34.81435,Client,E
32.11322,34.82659,Client,E
32.03897,34.75323,Client,E
32.11526,34.83435,Client,E
32.03342,34.75625,Client,E
32.0304,34.74812,Client,E
32.10794,34.82496,Client,E
32.086838,34.78117,Client,E
32.082233,34.78457,Client,E
32.07837,34.78253,Client,E
32.078882,34.77879,Client,E
